rental_id,car_id,checkin_type,state,delay,previous_id,time_delta,previous_delay
540782,401387,mobile,ended,-60.0,521343.0,540.0,86.0
542034,280406,mobile,canceled,,540818.0,600.0,52.0
551617,349894,connect,ended,-29.0,549019.0,270.0,32.0
536952,241021,connect,ended,-39.0,542244.0,720.0,80.0
537578,280805,connect,canceled,,534344.0,720.0,18.0
539640,368432,mobile,ended,-12.0,535981.0,0.0,2.0
540078,351660,connect,ended,20.0,541498.0,240.0,3.0
541514,383309,mobile,canceled,,546477.0,30.0,16.0
542274,368404,mobile,ended,16.0,523506.0,720.0,5.0
549636,336426,mobile,ended,1645.0,549493.0,0.0,283.0
549845,224728,mobile,ended,28.0,551198.0,30.0,48.0
551255,383997,mobile,ended,34.0,525663.0,720.0,59.0
553030,374626,mobile,ended,-82.0,548963.0,630.0,48.0
543138,391379,connect,ended,318.0,538099.0,60.0,65.0
551825,376901,mobile,ended,-31.0,543606.0,60.0,18.0
554534,407389,mobile,ended,42.0,553108.0,600.0,11.0
543560,394875,mobile,ended,2322.0,540428.0,0.0,6.0
543480,192575,connect,ended,120.0,532216.0,180.0,1.0
552987,400689,mobile,ended,7.0,559416.0,0.0,7.0
553940,390068,connect,ended,-3.0,556203.0,180.0,169.0
554066,410571,mobile,ended,-320.0,548898.0,120.0,47.0
556882,380479,mobile,canceled,,558724.0,0.0,13.0
557956,296227,mobile,ended,220.0,553198.0,30.0,252.0
544946,393126,mobile,ended,584.0,540436.0,90.0,119.0
545012,200366,mobile,ended,228.0,534183.0,240.0,21.0
545483,406927,mobile,ended,4.0,538253.0,120.0,11.0
539109,313432,mobile,ended,58.0,532031.0,60.0,62.0
535887,351393,connect,ended,90.0,541454.0,720.0,254.0
538748,243721,mobile,ended,11.0,534917.0,120.0,131.0
540132,397838,mobile,ended,-15.0,526192.0,720.0,10.0
542067,406161,mobile,canceled,,556375.0,480.0,9.0
542755,334190,connect,ended,60.0,534169.0,0.0,25.0
559859,310049,mobile,ended,7.0,554407.0,120.0,76.0
559709,379889,mobile,ended,-2.0,554879.0,90.0,14.0
560319,390467,connect,ended,-61.0,554129.0,720.0,1.0
560568,390702,connect,ended,-106.0,549612.0,720.0,2.0
555434,385378,mobile,ended,1634.0,553002.0,210.0,9.0
555762,181625,connect,ended,39.0,564963.0,540.0,180.0
559759,410052,mobile,ended,-56.0,556710.0,600.0,70.0
560896,391379,connect,ended,-37.0,559579.0,150.0,8.0
560926,383344,connect,canceled,,560740.0,450.0,17.0
543807,340616,connect,canceled,,543796.0,510.0,17.0
550027,384983,mobile,ended,21.0,538603.0,420.0,169.0
550185,386259,connect,ended,15.0,547975.0,180.0,27.0
552189,321170,mobile,ended,12.0,537078.0,300.0,22.0
553402,386413,connect,ended,-37.0,551633.0,600.0,58.0
544753,380478,mobile,ended,810.0,526537.0,0.0,747.0
544923,380038,mobile,ended,28.0,536646.0,600.0,88.0
543713,355444,connect,ended,-36.0,541691.0,120.0,5.0
559282,314456,connect,ended,-106.0,566613.0,60.0,10.0
559396,368604,connect,ended,-29.0,546242.0,90.0,2.0
559800,362498,mobile,ended,75.0,551850.0,150.0,26.0
543665,397413,mobile,ended,7.0,541444.0,30.0,901.0
544576,377119,connect,ended,-2.0,542935.0,360.0,16.0
544972,407389,mobile,ended,41.0,529569.0,270.0,242.0
545105,320780,mobile,ended,167.0,540181.0,690.0,28.0
545211,310661,mobile,ended,10.0,536387.0,450.0,5.0
546592,296967,connect,canceled,,545025.0,240.0,415.0
537302,380813,mobile,ended,-34.0,543359.0,660.0,594.0
537401,408927,mobile,ended,4.0,546980.0,60.0,11.0
563830,361262,mobile,ended,-274.0,564208.0,270.0,90.0
563251,383720,connect,ended,-33.0,554559.0,720.0,19.0
567472,223850,mobile,canceled,,561253.0,210.0,83.0
519066,331903,mobile,ended,51.0,509729.0,210.0,19.0
546870,377700,mobile,ended,36.0,552710.0,90.0,5.0
